"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873156343689","170.54656004362067","1754454328120"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731596286766","170.5465600591192","1754454328289"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873165157063","170.54656006037462","1754454328499"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873171870047","170.54656003321006","1754454328719"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873177839586","170.54656000614548","1754454328889"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873184804132","170.54655998021403","1754454329110"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873190220538","170.54655995660437","1754454329331"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873194262088","170.54655992876522","1754454329500"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587319773546","170.5465598804011","1754454329712"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858732024292486","170.5465598389278","1754454329889"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858732057721944","170.54655981094484","1754454330110"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873208044532","170.5465598184429","1754454330330"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873208678941","170.54655986350727","1754454330490"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873206281638","170.54655994980746","1754454330708"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873204401007","170.54656002291821","1754454330881"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873204713794","170.54656008357182","1754454331100"
